row,stim_idx,claim_idx,n_claims,is_last,edit_type,single_word,error,word_pos,word_orig,word_corrupt,lp_orig,lp_corrupt,n_tok_orig,n_tok_corrupt,d_inj,lp_orig_noinj,lp_corrupt_noinj,d_noinj,d_inj_minus_noinj
420,123,1,3,False,corrupt,False,,,,,,,,,,,,,
420,123,1,3,False,corrupt_det,True,,2.0,"""The","""While",-9.972119331359863,-21.847118377685547,2.0,2.0,11.874999046325684,-8.861515998840332,-17.33026695251465,8.468750953674316,3.406248092651367
421,123,2,3,True,corrupt,False,,,,,,,,,,,,,
421,123,2,3,True,corrupt_det,True,,33.0,"1999,","2006,",-6.145153045654297,-10.234375,6.0,6.0,4.089221954345703,-21.425321578979492,-20.763286590576172,-0.6620349884033203,4.751256942749023
422,124,0,4,False,corrupt,True,,9.0,baseball,soccer,-0.4850965142250061,-12.73509693145752,1.0,1.0,12.250000417232513,-8.555727005004883,-8.743227005004883,0.1875,12.062500417232513
423,124,1,4,False,corrupt,False,,,,,,,,,,,,,
423,124,1,4,False,corrupt_det,True,,3.0,"""After","""Billy",-11.088751792907715,-8.026251792907715,2.0,2.0,-3.0625,-14.406071662902832,-14.093571662902832,-0.3125,-2.75
424,124,2,4,False,corrupt,False,,,,,,,,,,,,,
425,124,3,4,True,corrupt,False,,,,,,,,,,,,,
425,124,3,4,True,corrupt_det,True,,9.0,"(""After","(""He",-4.894013404846191,-20.269014358520508,2.0,2.0,15.375000953674316,-12.864376068115234,-8.676876068115234,-4.1875,19.562500953674316
426,125,0,3,False,corrupt,True,,16.0,consistent,inconsistent,-1.3277764320373535,-9.265275955200195,1.0,1.0,7.937499523162842,-9.710375785827637,-13.054125785827637,3.34375,4.593749523162842
427,125,1,3,False,corrupt,True,,29.0,"km.""","miles."">",-8.949917793273926,-26.700210571289062,2.0,3.0,17.750292778015137,-18.259441375732422,-33.78608322143555,15.526641845703125,2.2236509323120117
427,125,1,3,False,corrupt_det,True,,6.0,"1,245","3,245",-8.763833999633789,-10.229728698730469,6.0,6.0,1.4658946990966797,-13.45909309387207,-15.455371856689453,1.9962787628173828,-0.5303840637207031
428,125,2,3,True,corrupt,True,,19.0,"""km)""","""m)""",-0.5319445133209229,-17.899686813354492,3.0,3.0,17.36774230003357,-17.328344345092773,-15.616928100585938,-1.711416244506836,19.079158544540405
428,125,2,3,True,corrupt_det,True,,2.0,"""8""","""15""",-0.639674186706543,-35.63350296020508,3.0,4.0,34.993828773498535,-31.00946044921875,-23.97905731201172,-7.030403137207031,42.024231910705566
429,126,0,3,False,corrupt,True,,12.0,Major,Minor,-0.27795445919036865,-7.965454578399658,1.0,1.0,7.6875001192092896,-16.687673568725586,-19.701345443725586,3.013671875,4.6738282442092896
429,126,0,3,False,corrupt_det,True,,12.0,Major,Jean,-0.27795445919036865,-20.4576416015625,1.0,1.0,20.17968714237213,-16.687673568725586,-18.836111068725586,2.1484375,18.03124964237213
